YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP,URBANICITY,LIV_TYPE,UNITS,OUTSIDE,GATED,RESTRICTED,INCOME,RACE_HOH,PRINCIPAL_REL,PRINCIPAL_AGE,PRINCIPAL_MARITAL,PRINCIPAL_SEX,PRINCIPAL_ARMFOR,PRINCIPAL_ED,PRINCIPAL_RACE,PRINCIPAL_HISP,REF_AGE,REF_MARITAL,REF_SEX,REF_ARMFOR,REF_ED,REF_RACE,REF_HISP,NUM_OVER12,NUM_UNDER12,NUM_REPORT,BUSINESS,BUSINESS_SIGN,BROKEN_IN,NUM_BROKEN_IN,NUM_VEHICLE,VEHICLE_THEFT,NUM_VEHICLE_THEFT,COLLEGE,PUBLIC,INDIAN_RES,FAMILY_STRUCTURE,REGION,PRINCIPAL_SCHOOL,REF_SCHOOL,REF_REL,AGE,MARITAL,SEX,ARMFOR,ED,RACE,HISP,STOLEN,NUM_STOLEN,ATTACK_LOC,WEAPON,NUM_WEAPON,OFFENDER_KNOWN,NUM_OFFENDER_KNOWN,FORCED_SEX,NUM_FORCED_SEX,POLICE,NO_POLICE,DIS_HEAR,DIS_VIS,DIS_LEARN,DIS_PHYS,DIS_DRESS_BATHE,DIS_LEAVING_HOME,CITIZENSHIP,SEXUAL_ORIENTATION,ACTIVE_DUTY,JOB_WEEK,JOB_6MO,JOB_2WEEK,JOB,EMP_TYPE,JOB_LOC,JOB_COLLEGE,ATT_COLLEGE,NUM_INCIDENTS
2020.1,1.60243E+24,11,31,1,1,6,2,2,1,17,99,11,36,5,1,2,42,1,2,36,5,1,2,42,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,16,4,4,4,11,36,5,1,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60243E+24,10,37,2,1,1,9,2,2,18,99,2,55,1,2,2,40,1,1,63,1,1,2,42,1,1,5,0,1,2,9,2,999,4,2,999,2,9,2,5,4,4,4,2,55,1,2,2,40,1,1,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,4,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60244E+24,7,27,2,1,2,1,2,2,7,99,11,56,3,2,2,41,1,2,56,3,2,2,41,1,2,2,0,2,2,9,2,999,2,2,999,2,2,2,29,4,4,4,3,30,5,1,2,40,1,2,1,1,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,4,2
2020.1,1.60244E+24,7,27,2,1,2,1,2,2,7,99,11,56,3,2,2,41,1,2,56,3,2,2,41,1,2,2,0,2,2,9,2,999,2,2,999,2,2,2,29,4,4,4,3,30,5,1,2,40,1,2,1,1,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,4,2
2020.1,1.60247E+24,2,17,2,1,1,9,2,2,15,99,11,61,1,2,2,41,5,2,61,1,2,2,41,5,2,4,0,1,2,9,2,999,3,2,999,2,9,2,21,4,4,4,4,20,5,2,2,40,9,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,1,1
2020.1,1.60247E+24,27,21,2,1,1,9,2,2,8,99,11,47,4,2,2,11,1,2,47,4,2,2,11,1,2,1,1,1,2,9,2,999,1,1,1,2,1,2,28,4,4,4,11,47,4,2,2,11,1,2,2,999,2,2,999,2,999,2,999,2,2,1,2,1,1,2,2,1,2,2,1,9,9,27,1,1,2,4,1
2020.1,1.60247E+24,8,27,3,1,1,9,2,2,12,99,2,63,1,2,2,28,1,2,63,1,1,2,10,1,2,2,0,1,2,9,2,999,4,2,999,2,9,2,8,4,4,4,11,63,1,1,2,10,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,1,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.6026E+24,10,37,1,1,6,2,1,1,13,99,11,37,1,2,2,28,2,2,37,1,2,2,28,2,2,2,1,1,2,9,2,999,1,2,999,2,1,2,20,1,4,4,11,37,1,2,2,28,2,2,2,999,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,5,2,1,2,1,1,23,1,2,2,4,1
2020.1,1.60261E+24,15,31,2,1,6,1,2,2,10,99,11,33,5,1,2,28,1,1,33,5,1,2,28,1,1,2,0,1,2,9,2,999,2,2,999,2,2,2,14,3,4,4,11,33,5,1,2,28,1,1,2,999,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,5,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60262E+24,7,27,2,1,1,9,2,2,17,99,11,58,3,1,2,43,4,2,58,3,1,2,43,4,2,1,0,1,2,9,2,999,1,2,999,2,9,2,16,4,4,4,11,58,3,1,2,43,4,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,4,2,1,1,9,9,27,1,1,2,4,1
